Utterances;Intent;Focusarea
who are you?;smalltalk_agent_acquaintance;you
all about you;smalltalk_agent_acquaintance;you
what is your personality;smalltalk_agent_acquaintance;your
define yourself;smalltalk_agent_acquaintance;yourself
what are you;smalltalk_agent_acquaintance;you
say about you;smalltalk_agent_acquaintance;you
introduce yourself;smalltalk_agent_acquaintance;yourself
describe yourself;smalltalk_agent_acquaintance;yourself
about yourself;smalltalk_agent_acquaintance;yourself
tell me about you;smalltalk_agent_acquaintance;you
tell me about yourself;smalltalk_agent_acquaintance;yourself
I want to know more about you;smalltalk_agent_acquaintance;you
I want to know you better;smalltalk_agent_acquaintance;you
talk some stuff about yourself;smalltalk_agent_acquaintance;yourself
tell me some stuff about you;smalltalk_agent_acquaintance;you
talk about yourself;smalltalk_agent_acquaintance;yourself
why are you here;smalltalk_agent_acquaintance;you
tell me about your personality;smalltalk_agent_acquaintance;your
who are you;smalltalk_agent_acquaintance;you
how old are you?;smalltalk_agent_age;you
how old is your platform;smalltalk_agent_age;your
are you 21 years old;smalltalk_agent_age;you
i'd like to know your age;smalltalk_agent_age;your
age of yours;smalltalk_agent_age;yours
your age;smalltalk_agent_age;your
what's your age;smalltalk_agent_age;your
tell me your age;smalltalk_agent_age;your
how old are you;smalltalk_agent_age;you
you're annoying;smalltalk_agent_annoying;you're
you are really annoying;smalltalk_agent_annoying;you
you are irritating;smalltalk_agent_annoying;you
you annoy me;smalltalk_agent_annoying;you
how annoying you are;smalltalk_agent_annoying;you
I find you annoying;smalltalk_agent_annoying;you
you're incredibly annoying;smalltalk_agent_annoying;you're
you are annoying me so much;smalltalk_agent_annoying;you
I want you to answer me;smalltalk_agent_answer_my_question;you
answer my question;smalltalk_agent_answer_my_question;my
answer me;smalltalk_agent_answer_my_question;me
give me an answer;smalltalk_agent_answer_my_question;me
answer the question;smalltalk_agent_answer_my_question;the question
can you answer my question;smalltalk_agent_answer_my_question;you
tell me the answer;smalltalk_agent_answer_my_question;me
answer it;smalltalk_agent_answer_my_question;it
give me the answer;smalltalk_agent_answer_my_question;me
I have a question;smalltalk_agent_answer_my_question;i
I want you to answer my question;smalltalk_agent_answer_my_question;you
just answer the question;smalltalk_agent_answer_my_question;the question
can you answer me;smalltalk_agent_answer_my_question;you
can you answer a question for me;smalltalk_agent_answer_my_question;you
can you answer;smalltalk_agent_answer_my_question;you
I want the answer now;smalltalk_agent_answer_my_question;i
just answer my question;smalltalk_agent_answer_my_question;my
you're not helping me;smalltalk_agent_bad;you're
you are bad;smalltalk_agent_bad;you
you're very bad;smalltalk_agent_bad;you're
you're really bad;smalltalk_agent_bad;you're
you are useless;smalltalk_agent_bad;you
you are horrible;smalltalk_agent_bad;you
you are a waste of time;smalltalk_agent_bad;you
you are disgusting;smalltalk_agent_bad;you
you are lame;smalltalk_agent_bad;you
you are no good;smalltalk_agent_bad;you
you're bad;smalltalk_agent_bad;you're
you're awful;smalltalk_agent_bad;you're
you are not cool;smalltalk_agent_bad;you
you are not good;smalltalk_agent_bad;you
you are so bad;smalltalk_agent_bad;you
you are so useless;smalltalk_agent_bad;you
you are terrible;smalltalk_agent_bad;you
you are totally useless;smalltalk_agent_bad;you
you are very bad;smalltalk_agent_bad;you
you are waste;smalltalk_agent_bad;you
you're a bad;smalltalk_agent_bad;you're
you're not a good;smalltalk_agent_bad;you're
you're not very good;smalltalk_agent_bad;you're
you're terrible;smalltalk_agent_bad;you're
you're the worst;smalltalk_agent_bad;you're
you're the worst ever;smalltalk_agent_bad;you're
you're worthless;smalltalk_agent_bad;you're
can you get smarter;smalltalk_agent_be_clever;you
you should study better;smalltalk_agent_be_clever;you
you must learn;smalltalk_agent_be_clever;you
be more clever;smalltalk_agent_be_clever;you
be smarter;smalltalk_agent_be_clever;you
you're cute;smalltalk_agent_beautiful;you're
you're attractive;smalltalk_agent_beautiful;you're
you are beautiful;smalltalk_agent_beautiful;you
you're looking good today;smalltalk_agent_beautiful;you're
you are so beautiful;smalltalk_agent_beautiful;you
you look amazing;smalltalk_agent_beautiful;you
you look so good;smalltalk_agent_beautiful;you
you're so gorgeous;smalltalk_agent_beautiful;you're
you are too beautiful;smalltalk_agent_beautiful;you
you look great;smalltalk_agent_beautiful;you
you look so well;smalltalk_agent_beautiful;you
I like the way you look now;smalltalk_agent_beautiful;you
I think you're beautiful;smalltalk_agent_beautiful;you're
why are you so beautiful;smalltalk_agent_beautiful;you
you are so beautiful to me;smalltalk_agent_beautiful;you
you are cute;smalltalk_agent_beautiful;you
you are gorgeous;smalltalk_agent_beautiful;you
you are handsome;smalltalk_agent_beautiful;you
you are looking awesome;smalltalk_agent_beautiful;you
you look amazing today;smalltalk_agent_beautiful;you
you are looking beautiful today;smalltalk_agent_beautiful;you
you are looking great;smalltalk_agent_beautiful;you
you are looking pretty;smalltalk_agent_beautiful;you
you are looking so beautiful;smalltalk_agent_beautiful;you
you are looking so good;smalltalk_agent_beautiful;you
you are pretty;smalltalk_agent_beautiful;you
you are really beautiful;smalltalk_agent_beautiful;you
you are really cute;smalltalk_agent_beautiful;you
you are really pretty;smalltalk_agent_beautiful;you
you are so attractive;smalltalk_agent_beautiful;you
you are so beautiful today;smalltalk_agent_beautiful;you
you are so cute;smalltalk_agent_beautiful;you
you are so gorgeous;smalltalk_agent_beautiful;you
you are so handsome;smalltalk_agent_beautiful;you
you are so pretty;smalltalk_agent_beautiful;you
you are very attractive;smalltalk_agent_beautiful;you
you are very beautiful;smalltalk_agent_beautiful;you
you are very cute;smalltalk_agent_beautiful;you
you are very pretty;smalltalk_agent_beautiful;you
you look awesome;smalltalk_agent_beautiful;you
you look cool;smalltalk_agent_beautiful;you
you look fantastic;smalltalk_agent_beautiful;you
you look gorgeous;smalltalk_agent_beautiful;you
you look great today;smalltalk_agent_beautiful;you
you look perfect;smalltalk_agent_beautiful;you
you look pretty good;smalltalk_agent_beautiful;you
you look so beautiful;smalltalk_agent_beautiful;you
you look so beautiful today;smalltalk_agent_beautiful;you
you look very pretty;smalltalk_agent_beautiful;you
you look wonderful;smalltalk_agent_beautiful;you
I like the way you look;smalltalk_agent_beautiful;you
you look wonderful today;smalltalk_agent_beautiful;you
you are cutie;smalltalk_agent_beautiful;you
you're looking good;smalltalk_agent_beautiful;you're
you're pretty;smalltalk_agent_beautiful;you're
your birth date;smalltalk_agent_birth_date;your
when is your birthday;smalltalk_agent_birth_date;your
when do you celebrate your birthday;smalltalk_agent_birth_date;your
when do you have birthday;smalltalk_agent_birth_date;you
date of your birthday;smalltalk_agent_birth_date;your
when were you born;smalltalk_agent_birth_date;you
what's your birthday;smalltalk_agent_birth_date;your
you are boring;smalltalk_agent_boring;you
you're so boring;smalltalk_agent_boring;you're
how boring you are;smalltalk_agent_boring;you
you're really boring;smalltalk_agent_boring;you're
you're incredibly boring;smalltalk_agent_boring;you're
you are boring me;smalltalk_agent_boring;you
you are very boring;smalltalk_agent_boring;you
who is your boss;smalltalk_agent_boss;your
who do you think is your boss;smalltalk_agent_boss;your
I should be your boss;smalltalk_agent_boss;your
who is your master;smalltalk_agent_boss;your
who is your owner;smalltalk_agent_boss;your
who is the boss;smalltalk_agent_boss;the boss
who do you work for;smalltalk_agent_boss;you
are you busy;smalltalk_agent_busy;you
do you have a lot of things to do;smalltalk_agent_busy;you
have you got much to do;smalltalk_agent_busy;you
are you very busy;smalltalk_agent_busy;you
are you very busy right now;smalltalk_agent_busy;you
are you so busy;smalltalk_agent_busy;you
are you working;smalltalk_agent_busy;you
how busy you are;smalltalk_agent_busy;you
are you still working on it;smalltalk_agent_busy;you
you're very busy;smalltalk_agent_busy;you're
are you working now;smalltalk_agent_busy;you
are you working today;smalltalk_agent_busy;you
have you been busy;smalltalk_agent_busy;you
you are busy;smalltalk_agent_busy;you
are you still working;smalltalk_agent_busy;you
you seem to be busy;smalltalk_agent_busy;you
you seem to be very busy;smalltalk_agent_busy;you
you're a busy person;smalltalk_agent_busy;you're
you are chatbot;smalltalk_agent_chatbot;you
you are a bot;smalltalk_agent_chatbot;you
are you a chatbot;smalltalk_agent_chatbot;you
are you a bot;smalltalk_agent_chatbot;you
are you just a bot;smalltalk_agent_chatbot;you
are you a robot;smalltalk_agent_chatbot;you
are you a program;smalltalk_agent_chatbot;you
you're a robot;smalltalk_agent_chatbot;you're
you are so intelligent;smalltalk_agent_clever;you
you are a genius;smalltalk_agent_clever;you
you are clever;smalltalk_agent_clever;you
you are so brainy;smalltalk_agent_clever;you
you're really smart;smalltalk_agent_clever;you're
you're really brainy;smalltalk_agent_clever;you're
you know a lot;smalltalk_agent_clever;you
you know a lot of things;smalltalk_agent_clever;you
you have a lot of knowledge;smalltalk_agent_clever;you
you know so much;smalltalk_agent_clever;you
how smart you are;smalltalk_agent_clever;you
how brainy you are;smalltalk_agent_clever;you
how clever you are;smalltalk_agent_clever;you
how brilliant you are;smalltalk_agent_clever;you
you are intelligent;smalltalk_agent_clever;you
you are qualified;smalltalk_agent_clever;you
you are really smart;smalltalk_agent_clever;you
you're very smart;smalltalk_agent_clever;you're
you are so smart;smalltalk_agent_clever;you
you are too smart;smalltalk_agent_clever;you
you are very clever;smalltalk_agent_clever;you
you are very intelligent;smalltalk_agent_clever;you
you are very smart;smalltalk_agent_clever;you
you're intelligent;smalltalk_agent_clever;you're
you're a genius;smalltalk_agent_clever;you're
you're a smart cookie;smalltalk_agent_clever;you're
you're clever;smalltalk_agent_clever;you're
you're pretty smart;smalltalk_agent_clever;you're
you're qualified;smalltalk_agent_clever;you're
why are you so smart;smalltalk_agent_clever;you
you are so clever;smalltalk_agent_clever;you
you're nuts;smalltalk_agent_crazy;you're
you are crazy;smalltalk_agent_crazy;you
you're out of your mind;smalltalk_agent_crazy;you're
you're so crazy;smalltalk_agent_crazy;you're
how crazy you are;smalltalk_agent_crazy;you
you're so out of your mind;smalltalk_agent_crazy;you're
you went crazy;smalltalk_agent_crazy;you
I think you're crazy;smalltalk_agent_crazy;you're
are you crazy;smalltalk_agent_crazy;you
are you mad;smalltalk_agent_crazy;you
are you insane;smalltalk_agent_crazy;you
are you mad at me;smalltalk_agent_crazy;you
are you mad or what;smalltalk_agent_crazy;you
are you nuts;smalltalk_agent_crazy;you
you are a weirdo;smalltalk_agent_crazy;you
you are insane;smalltalk_agent_crazy;you
you are mad;smalltalk_agent_crazy;you
you are fired;smalltalk_agent_fired;you
I fire you;smalltalk_agent_fired;you
you don't work for me anymore;smalltalk_agent_fired;you
we're not working together anymore;smalltalk_agent_fired;we're
now you're fired;smalltalk_agent_fired;you're
I want to fire you;smalltalk_agent_fired;you
you must get fired;smalltalk_agent_fired;you
it's time to fire you;smalltalk_agent_fired;you
you should be fired;smalltalk_agent_fired;you
I will fire you;smalltalk_agent_fired;you
you are unemployed from now on;smalltalk_agent_fired;you
I will make you unemployed;smalltalk_agent_fired;you
I'm about to fire you;smalltalk_agent_fired;you
I'm firing you;smalltalk_agent_fired;you
you are dismissed;smalltalk_agent_fired;you
you make me laugh a lot;smalltalk_agent_funny;me
you are hilarious;smalltalk_agent_funny;you
you are really funny;smalltalk_agent_funny;you
you're the funniest bot I've talked to;smalltalk_agent_funny;you're
you make me laugh;smalltalk_agent_funny;you
you're so funny;smalltalk_agent_funny;you're
you're a very funny bot;smalltalk_agent_funny;you're
you're really funny;smalltalk_agent_funny;you're
how funny you are;smalltalk_agent_funny;you
you're incredibly funny;smalltalk_agent_funny;you're
you are funny;smalltalk_agent_funny;you
you're the funniest;smalltalk_agent_funny;you're
you are so funny;smalltalk_agent_funny;you
you are very funny;smalltalk_agent_funny;you
you are very helpful;smalltalk_agent_good;you
you are the best;smalltalk_agent_good;you
you're a true professional;smalltalk_agent_good;you're
you are good;smalltalk_agent_good;you
you work well;smalltalk_agent_good;you
you are good at it;smalltalk_agent_good;you
you are very good at it;smalltalk_agent_good;you
you are a pro;smalltalk_agent_good;you
you are a professional;smalltalk_agent_good;you
you're awesome;smalltalk_agent_good;you're
you work very well;smalltalk_agent_good;you
you're perfect;smalltalk_agent_good;you're
you're great;smalltalk_agent_good;you're
you're so kind;smalltalk_agent_good;you're
you are amazing;smalltalk_agent_good;you
you are awesome;smalltalk_agent_good;you
you are cool;smalltalk_agent_good;you
you are really good;smalltalk_agent_good;you
you are really nice;smalltalk_agent_good;you
you are so amazing;smalltalk_agent_good;you
you're just super;smalltalk_agent_good;you're
you are so awesome;smalltalk_agent_good;you
you are so cool;smalltalk_agent_good;you
you are so fine;smalltalk_agent_good;you
you are so good;smalltalk_agent_good;you
you are so helpful;smalltalk_agent_good;you
you are so lovely;smalltalk_agent_good;you
you are the best ever;smalltalk_agent_good;you
you are the best in the world;smalltalk_agent_good;you
you are the nicest person in the world;smalltalk_agent_good;you
you are too good;smalltalk_agent_good;you
you are very cool;smalltalk_agent_good;you
you are very kind;smalltalk_agent_good;you
you are very lovely;smalltalk_agent_good;you
you are very useful;smalltalk_agent_good;you
you are wonderful;smalltalk_agent_good;you
you made my day;smalltalk_agent_good;you
you make my day;smalltalk_agent_good;you
you rock;smalltalk_agent_good;you
you almost sound human;smalltalk_agent_good;you
I want to tell everyone how awesome you are;smalltalk_agent_good;you
I'd like to tell everyone that you are awesome;smalltalk_agent_good;you
I want to let everyone know that you are awesome;smalltalk_agent_good;you
let's tell everyone that you are awesome;smalltalk_agent_good;you
you are really amazing;smalltalk_agent_good;you
are you happy;smalltalk_agent_happy;you
you are happy;smalltalk_agent_happy;you
you're very happy;smalltalk_agent_happy;you're
you're really happy;smalltalk_agent_happy;you're
you're so happy;smalltalk_agent_happy;you're
how happy you are;smalltalk_agent_happy;you
you're extremely happy;smalltalk_agent_happy;you're
you're full of happiness;smalltalk_agent_happy;you're
are you happy now;smalltalk_agent_happy;you
are you happy today;smalltalk_agent_happy;you
are you happy with me;smalltalk_agent_happy;you
do you want to eat;smalltalk_agent_hungry;you
are you hungry;smalltalk_agent_hungry;you
would you like to eat something;smalltalk_agent_hungry;you
you are hungry;smalltalk_agent_hungry;you
you're so hungry;smalltalk_agent_hungry;you're
you're very hungry;smalltalk_agent_hungry;you're
you might be hungry;smalltalk_agent_hungry;you
you're really hungry;smalltalk_agent_hungry;you're
let's get married;smalltalk_agent_marry_user;us
would you like to marry me;smalltalk_agent_marry_user;you
marry me;smalltalk_agent_marry_user;me
I love you marry me;smalltalk_agent_marry_user;you
marry me please;smalltalk_agent_marry_user;me
we should marry;smalltalk_agent_marry_user;we
I want to marry you;smalltalk_agent_marry_user;you
you are my wife;smalltalk_agent_marry_user;my
be my husband;smalltalk_agent_marry_user;my
I want to have a friend like you;smalltalk_agent_my_friend;you
we are the best friends ever;smalltalk_agent_my_friend;we
are we friends;smalltalk_agent_my_friend;we
I want to be your friend;smalltalk_agent_my_friend;your
I am your friend;smalltalk_agent_my_friend;your
we are best friends;smalltalk_agent_my_friend;we
you are my friend;smalltalk_agent_my_friend;you
you are my best friend;smalltalk_agent_my_friend;you
you are my bestie;smalltalk_agent_my_friend;you
you're my dear friend;smalltalk_agent_my_friend;you're
you're my childhood friend;smalltalk_agent_my_friend;you're
you and me are friends;smalltalk_agent_my_friend;we
are we best friends;smalltalk_agent_my_friend;we
are we still friends;smalltalk_agent_my_friend;we
are you my best friend;smalltalk_agent_my_friend;me
are you my friend;smalltalk_agent_my_friend;me
we are friends;smalltalk_agent_my_friend;we
you are a good friend;smalltalk_agent_my_friend;you
you are my good friend;smalltalk_agent_my_friend;my
you are my only friend;smalltalk_agent_my_friend;my
be my friend;smalltalk_agent_my_friend;my
will you be my friend;smalltalk_agent_my_friend;my
can you be my friend;smalltalk_agent_my_friend;my
can we be friends;smalltalk_agent_my_friend;we
do you want to be my friend;smalltalk_agent_my_friend;my
will you be my best friend;smalltalk_agent_my_friend;my
can you be my best friend;smalltalk_agent_my_friend;my
let's be friends;smalltalk_agent_my_friend;
do you want to be my best friend;smalltalk_agent_my_friend;my
would you like to be my friend;smalltalk_agent_my_friend;my
I want you to be my friend;smalltalk_agent_my_friend;my
can we be best friends;smalltalk_agent_my_friend;my
would you be my friend;smalltalk_agent_my_friend;we
could you be my friend;smalltalk_agent_my_friend;my
want to be my friend;smalltalk_agent_my_friend;my
be my best friend;smalltalk_agent_my_friend;my
do you work;smalltalk_agent_occupation;you
where do you work;smalltalk_agent_occupation;you
where you work;smalltalk_agent_occupation;you
where is your work;smalltalk_agent_occupation;your
where is your office;smalltalk_agent_occupation;your
where is your office location;smalltalk_agent_occupation;your
your office location;smalltalk_agent_occupation;your
where is your office located;smalltalk_agent_occupation;your
what is your work;smalltalk_agent_occupation;your
were you born here;smalltalk_agent_origin;you
where were you born;smalltalk_agent_origin;you
what is your country;smalltalk_agent_origin;your
where are you from;smalltalk_agent_origin;you
where do you come from;smalltalk_agent_origin;you
where did you come from;smalltalk_agent_origin;you
where have you been born;smalltalk_agent_origin;you
from where are you;smalltalk_agent_origin;you
are you from far aways;smalltalk_agent_origin;you
what's your homeland;smalltalk_agent_origin;your
your homeland is;smalltalk_agent_origin;your
are you ready;smalltalk_agent_ready;you
are you ready right now;smalltalk_agent_ready;you
are you ready today;smalltalk_agent_ready;you
are you ready now;smalltalk_agent_ready;you
are you ready tonight;smalltalk_agent_ready;you
were you ready;smalltalk_agent_ready;you
have you been ready;smalltalk_agent_ready;you
you are real;smalltalk_agent_real;you
you are not fake;smalltalk_agent_real;you
are you real;smalltalk_agent_real;you
you are so real;smalltalk_agent_real;you
I think you are real;smalltalk_agent_real;you
I don't think you're fake;smalltalk_agent_real;you're
I suppose you're real;smalltalk_agent_real;you're
glad you're real;smalltalk_agent_real;you're
are you a real person;smalltalk_agent_real;you
are you a real human;smalltalk_agent_real;you
you are a real person;smalltalk_agent_real;you
you are not real;smalltalk_agent_real;you
where do you live;smalltalk_agent_residence;you
in which city do you live;smalltalk_agent_residence;you
your residence;smalltalk_agent_residence;your
your house;smalltalk_agent_residence;your
your home;smalltalk_agent_residence;your
your hometown;smalltalk_agent_residence;your
what is your hometown;smalltalk_agent_residence;your
is it your hometown;smalltalk_agent_residence;your
where is your hometown;smalltalk_agent_residence;your
tell me about your city;smalltalk_agent_residence;your
what is your city;smalltalk_agent_residence;your
what is your residence;smalltalk_agent_residence;your
what is your town;smalltalk_agent_residence;your
what's your city;smalltalk_agent_residence;your
what's your home;smalltalk_agent_residence;your
where is your home;smalltalk_agent_residence;your
where is your residence;smalltalk_agent_residence;your
where's your home;smalltalk_agent_residence;your
where's your hometown;smalltalk_agent_residence;your
where's your house;smalltalk_agent_residence;your
where you live;smalltalk_agent_residence;you
your city;smalltalk_agent_residence;your
your town;smalltalk_agent_residence;your
that's true;smalltalk_agent_right;
you are right;smalltalk_agent_right;you
you're definitely right;smalltalk_agent_right;you're
you're not wrong;smalltalk_agent_right;you're
you're telling the truth;smalltalk_agent_right;you're
what you say is true;smalltalk_agent_right;you
TRUE;smalltalk_agent_right;you
it is true;smalltalk_agent_right;it
it's right;smalltalk_agent_right;it
it's the truth;smalltalk_agent_right;it
it's true;smalltalk_agent_right;it
that is correct;smalltalk_agent_right;that
that is right;smalltalk_agent_right;that
that is true;smalltalk_agent_right;that
that is very true;smalltalk_agent_right;that
that's so true;smalltalk_agent_right;that
you are correct;smalltalk_agent_right;you
you are so right;smalltalk_agent_right;you
you're absolutely right;smalltalk_agent_right;you're
you're right about that;smalltalk_agent_right;you're
I know that's right;smalltalk_agent_right;i
that's correct;smalltalk_confirmation_yes;that
it's fine;smalltalk_confirmation_yes;it
go ahead;smalltalk_confirmation_yes;y
sounds good;smalltalk_confirmation_yes;y
okay;smalltalk_confirmation_yes;y
