Utterances;Focusarea
I can't wait anymore;i
how long do I have to wait;i
I'd like to see you again;i
I hope to see you again;i
would be nice to see you again;you
that'd be great to see you again;you
I'd be happy to see you again;i
I'll miss you;i
can I see you again;i
I just want to talk;i
can I speak;i
can I start speaking;i
can we talk;we
I want to talk to you;i
I need to talk to you;i
I want to speak with you;i
can we chat;we
I'll get back to you in a moment;i
I'll be back;i
I promise to come back;i
I'll be back in a few minutes;i
who is you?;you
tell me your personality?;your
what's your personality?;your
what is your personality?;your
what are you and what are you doing?;you
what are you?;you
tell me something about yourself;yourself
i'd like to know more about you;you
i want to know more about you;you
i want to get to know you better;you
i want to know you better;you
tell me a little bit about yourself;yourself
tell me the information about you;you
tell me some information about you;you
i want to know something about you;you
tell me a little about you;you
tell me some things about you;you
tell me something about you;you
talk about your personality;your
why are you here?;you
give me more about your personality;your
how old is your age?;your
what age are you?;you
are you 21 years old?;you
i would like to know your age;your
what's your age?;your
you're a nuisance;you're
you're irritable;you're
you irritate me;me
what an annoying person you are;you
i find you irritating;i
you're so annoying;you're
you're really annoying;you're
you're just bothering me;you're
you're annoying me;you're
you're annoying me so much;you're
i want you to answer;you
i want you to answer me;you
please answer my question;my
please answer me;me
give me a response;me
please give me a response;me
give me a answer;me
i'm looking for answers to my question;my
could you answer my question?;my
can you answer my question?;my
i'll take a call;i
i have a question;i
i want you to answer my question;my
answer the question just;the question
can you answer my questions?;my
can you give me an answer?;me
can you answer me?;me
can you answer me a question?;me
can you answer a question for me?;me
can you answer?;you
i'd like the answer now;i
i want the answer now;i
don't help me;me
you don't help me;you
you're not good;you're
you're deplorable;you're
you're absolutely useless;you're
you're a waste;you're
you're not good at it;you're
you're not great;you're
you're not that great;you're
you're the worst thing ever;you're
you're not worth it;you're
you're useless;you're
can you become smarter?;you
can you be smarter?;you
you should study harder;you
you have to learn something;you
you have to learn;you
get yourself ready;yourself
you look good;you
you're too gorgeous;you're
you're beautiful;you're
you're so beautiful;you're
i like your look;your
i like your look now;your
i like the way you now look;you
i think you're pretty;you're
i think you're great;you're
why do you're beautiful?;you're
why are you beautiful?;you
why are you so beautiful?;you
you're beautiful to me;you're
you're magnificent;you're
you look so good today;you
you look good today;you
you're so pretty;you're
you look like a beautiful woman;you
you look spectacular;you
you look brilliant;you
you look magnificent;you
you look beautiful;you
you look so pretty;you
you look lovely;you
you look excellent today;you
you look quite attractive;you
you look excellent;you
i like the way you look;yyou
you're a cutie;you're
you look fine;you
your date of birth;your
when's your birthday?;your
when will you celebrate your birthday?;you
when does your birthday happen?;your
when do you have your birthday?;you
when do you have a birthday?;you
your birthday;your
when did you get born?;you
what is your birthday?;your
what's your birthday?;your
what a dull person you are;you
you're very boring;you're
you're awfully boring;you're
you're boring me;you're
who's your boss?;your
who is your boss?;your
and who is your boss?;your
who do you think is your boss?;your
who's your leader;your
who is your teacher?;your
who's your master?;your
who is your master?;your
who's your owner?;your
who is your owner?;your
are you busy?;you
do you have many things to do?;you
are you very busy?;you
are you very busy right now?;you
are you so busy?;you
are you working?;you
do you still work on this?;you
are you still working on it?;you
you're busy;you're
you're so busy;you're
are you working now?;you
are you working today?;you
have you been busy?;you
are you still working?;you
you look busy;you
you seem busy;you
you seem very busy;youyou
are you a chatbot?;you
are you a bot?;you
are you just a bot?;you
are you a robot?;you
are you a program?;you
you're so clever;you're
you know so many things;you
you know a lot of stuff;you
you know many things;you
how awesome you are;you
you have qualifications;you
you're an intelligent guy;you're
you're smart;you're
you're so smart;you're
you are smart;you
you're a smart nut;you're
you're a qualified;you're
why are you so clever?;you
why are you so smart?;you
you're so off-your-cuff;you're
i think you're just crazy;you're
are you insane?;you
are you mad?;you
are you crazy?;you
are you mad at me?;you
are you mad or something?;you
are you mad or what?;you
are you nuts?;you
you're crazy;you're
you're sacked;you're
you don't work for me;you
we're not cooperating anymore;we
we can't work together anymore;we
we're not working together;we
you're out;you're
i want you ejected;you
i want you fired;you
i want to sack you;you
i want to fire you;you
you have to be fired;you
you have to get fired;you
it's time to sack you;you
you're going to be unemployed;you're
you're jobless from now on;you're
you will be unemployed from now on;you
you're going to be unemployed from now on;you're
you're unemployed from now on;you're
i'll make you workless;you
i'm about to sack you;you
i'm about to fire you;you
i'm gonna fire you;you
i'm firing you;you
you're getting fired;you're
you are pushed out;you
you're fired;you're
you're so hilarious;you're
you made me laugh;me
you're a very funny machine;you're
you're very funny;you're
you're good at this;you're
you have a real knack;you
you're a professional;you're
you're so good;you're
you're incredible;you're
you are doing so well;you
you made me smile;me
you've made my day;my
you make me happy;me
you almost sound like a human;you
i'd like to tell you that you're amazing;you're
i'd like to tell everyone how good you are;you
i want to tell everybody how amazing you are;you
i want to tell everyone how fantastic you are;you
i want to tell everyone how amazing you are;you
i want to tell everybody how awesome you are;you
i want to tell everyone how awesome you are;you
i'd like to tell everyone that you're a great person;you're
i'd like to tell everyone you are amazing;you
i would like to tell everyone that you are amazing;you
i'd like to tell everyone that you're amazing;you're
i want to tell everyone that you are awesome;you
i'd like to tell everyone that you are amazing;you
i'd like to tell everyone that you're awesome;you're
i just wanted to let you know how great you are;you
i'd like to let everyone know that you're good;you're
i want to tell everyone you are awesome;you
i want to let everyone know that you're great;you're
i want to let everyone know that you are great;you
i want to let everyone know that you're awesome;you're
let's tell everybody that you're so cool;you're
let's tell everyone that you're amazing;you're
let's tell everyone you're awesome;you're
let's tell everyone that you're awesome;you're
are you happy?;you
you're enjoying yourself;yourself
you're quite happy;you're
you're thrilled;you're
you're happy;you're
you are very happy;you
are you glad now?;you
are you pleased today?;you
are you happy today?;you
do you like me?;me
are you happy with me?;me
do you want to eat?;you
are you hungry?;you
would you like to have something to eat?;you
do you want to eat something?;you
do you like to eat something?;you
maybe you're hungry;you're
you could be hungry;you
you may be hungry;you
if you're hungry;you're
you want me to marry?;you
do you want to marry me?;you
would you like to marry me?;you
i love you;i
please get me married;me
please marry me;me
i want to marry you;i
i want a friend like you;i
i'd like to have a friend like you;i
i want to have a friend like you;i
we're good friends;we
are we friends?;we
i want to be your friend;i
i'm your friend;your
you're my friend;you're
you're my bestie;you're
you're my friend from childhood;my
you and i are friends;us
are we the best friends?;we
are we best friends?;we
are we still friends?;we
are you my best friend?;my
are you my friend?;my
you're my only friend;my
will you be my friend?;my
can you be my friend?;my
can we become friends?;we
can we be friends?;we
do you want to be my friend?;my
can you be my best friend?;my
do you want to be my best friend?;my
want to be my friend?;ym
you'd like to be my friend?;my
would you like to be my friend?;my
i want you to be my friend;my
can we be best friends?;we
i'd like you to be my friend;my
would you be my friend?;my
could you be my friend?;my
do you work?;you
where's your job?;your
where's your work?;your
where is your job?;your
where's your office?;
where is your office?;your
where are your offices?;your
where's your office located?;your
your place of business;your
location of your office;your
your office place;your
where is your office located?;your
were you born here?;you
what's your country?;your
what is your country?;your
where do you come from?;you
where did you come from?;you
where did you get born?;you
what is your homeland?;your
what's your homeland?;your
your country;your
are you ready?;you
are you ready now?;you
are you ready today?;you
are you ready for this night;you
are you ready tonight?;you
were you ready?;you
have you been ready?;you
you're not a ruse;you're
are you real?;you
i think you're real;you're
i don't think you are fake;you
i don't think you're a fake;you're
i don't think you're fake;you're
good to know you're real;you're
are you a real person?;you
are you a real human being?;you
are you a real human?;you
what city do you live in;you
which city do you live in?;you
which city do you live?;you
in what city do you live?;you
your place of residence;your
what's your hometown?;your
what is your hometown?;your
is it your hometown?;your
where's your hometown?;your
where is your hometown?;your
please tell me more about your city;your
what's your city?;your
what is your city?;your
what's your home?;your
what's your residence?;your
what is your residence?;your
what's your town?;your
what is your town?;your
what's your house?;your
where's your house?;your
where is your house?;your
where's your home?;your
where is your home?;your
where's your residence?;your
where is your residence?;your
you're right;you're
that's the truth;that
you've got it right;you're
you have a right;you
you're totally right;you're
you're completely right;you're
it's perfectly okay;it
it's okay;it
and it's fine;it
i'm guessing;i
i don't mind;i
i think so;i
yes i'd like to go;i
yes i'd like to;i
yes i would like to go;i
yes i would like to;i
okay it's okay;it
are you certain?;you
are you sure?;you
are you sure of it right now?;you
are you sure right now?;you
are you sure of this today?;you
are you sure today?;you
now are you sure?;you
are you sure tonight?;you
why don't you speak with me?;you
why don't you just talk to me?;you
why don't you talk to me?;you
would you like to chat with me?;you
do you want to talk with me?;you
do you want to chat to me?;you
you want to chat with me?;you
do you want to chat with me?;you
' do you want to chat with me?;you
will you talk to me?;you
please tell me;me
are you going to talk to me?;you
are you talking to me?;you
can you talk to me?;you
can you chat with me?;you
can you speak to me?;you
can you speak with me?;you
is it possible to talk to me?;me
can you talk with me?;you
chat to me;me
just talk to me;me
have a chat with me;me
please speak to me;me
let me know;me
are you there?;you
are you near me?;me
are you here?;you
are you still there?;you
are you still here?;you
it was stupid;it
it's a bad thing;it
no it's not good;it
it's just lame;it
i don't think it's an okay idea;i
that's awful;that
that's horrible;that
that's a bad thing;that
this is not a good thing;this
it's not a good thing;it
it's pretty bad;it
it's a shame;it
so it wasn't right;it
it's not great;it
happy to hear that;that
it's all right;it
it's okay;it
that's a wonderful situation;that
it's not a bad thing;it
this is very good;this
i'm glad to hear that;i
it's wonderful;it
it's not a problem;it
don't worry it's not a big problem;it
it's not a problem there's no problem;it
don't worry it's not a problem;it
no worries there's no problem;there
don't worry there is no problem;there
i appreciate it;i
thanks for it;it
thank you very much;you
thanks for your assistance;your
thank you for your assistance;your
thank you for helping;you
i'm grateful;i
thank you it's going to be all right;you
so thank you;you
i appreciate your continued support;your
again i really appreciate you;i
all right - thank you;you
that's nice of you;you
thanks for that;that
i'm pleased;i
whatever you want;you
don't go there;there
don't worry about it;it
forget about this;this
can you cancel?;you
can you cancel it?;it
can you cancel that?;that
cancel this entire thing;this
cancel the entire thing;thing
can you stop it?;it
can you cancel this?;this
cancel this;this
i'd like to cancel;i
but can you still cancel?;you
but can you cancel it?;you
don't do that;that
i don't want it;it
i don't want that;that
i disagree with you;i
i don't agree;i
i disagree;i
but i disagree;i
i don't think so;i
but i don't think so;i
i said no;i
i don't want to do it;i
i don't want to;i
no i wouldn't;i
can you wait?;you
don't go too fast;i
wanna hug you;you
do you want a hug?;you
can i hug you?;i
i'd like to hug you;i
could you please hug me?;you
could you hug me;you
could you hug me?;you
can you give me a hug?;you
i'd like a hug;i
i want a hug;i
i don't care about it;i
i don't care;i
that shouldn't concern me;me
i shouldn't care;i
i shouldn't care about this;i
it doesn't bother me;me
i don't care a lot;i
i don't care at all;i
you don't care?;you
the fact that i'm not too concerned;i
please excuse me;me
i'm sorry;i
i apologize to you;i
i apologize;i
i'm so sorry;i
oh my apologies;my
you should excuse me;me
i'd like to give you an apology;i
i beg your forgiveness;your
i'm asking for your pardon;your
i beg your pardon;your
i said i'm sorry;i
you're supposed to forgive me;you're
please forgive me;me
i'd like to say sorry;i
i want to say i'm sorry;i
i just want to say i'm sorry;i
i just want to say sorry;i
i want to say sorry;i
ok i'm sorry;i
what exactly are you referring to;you
is that what you mean?;you
what exactly are you saying?;you
but what do you mean?;you
it wasn't right;it
so it's not what i asked;i
that's not what i asked;that
that's the wrong thing;that
there's a mistake;there
it's just wrong;it
it's not correct;it
that's not correct;that
i have to go;i
that's all for goodbye;that
keep me alone;me
let me be alone;me
just leave me alone;me
i hope you have a good night;you
nice day don't you think?;you
a great day isn't it?;it
it's a lovely day doesn't it?;it
how's your morning going?;your
how is your morning so far?;your
what's your progress?;your
how's this going?;this
how're you doing?;you
how are you?;you
how are things going?;thing
how are the things going?;thing
are you okay?;you
are you fine?;you
how's your mood?;your
what are you feeling like?;you
how are you today?;you
how do you do this?;you
how do you do it?;you
how it's going?;it
how is this going?;this
how's it going?;it
how's your night?;your
how's your evening?;your
how was your day?;your
are you having a good day?;you
hope your day goes well;your
i'm fine and you're fine;we
how's your life?;your
how is your life?;your
how's your day going?;your
how is your morning going?;your
what's your day like?;your
how's your day gone?;your
what about you?;you
how about you?;you
how's your day?;your
nice to see you;you
i'm glad to meet you;you
nice to see you too;you
happy to see you;you
happy to meet you;you
i'm happy to see you;you
it's an honour to meet you;you
wonderful to meet you;you
happy to see you;you
what a pleasure to meet you;yuo
how nice to see you;you
glad to see you again;you
it's nice talking to you;you
it was nice to talk with you;you
it's really nice to talk to you;you
i'm happy to talk to you;you
what a pleasure to chat with you;you
how nice to talk to you;you
what's your thought?;your
i asked what's going on;i
i said what's going on?;i
i said what's going on;i
i asked what's up?;i
i said what's up;i
i'm mad about this;i
i'm angry and angry;i
i am angry;i
i'm mad;i
i'm infuriated;i
i'm enraged;i
i'm upset;i
i'm angry;i
i'm furious;i
i'm mad at you;i
i'm angry at you;i
i'm angry with you;i
i am angry with you;i
i'm crazy;i
i'm so mad;i
i am mad at you;i
i'm back;i
i'm here again;i
here i am again;i
now here i am again;i
i got back there;i
i've come back;i
i have come back;i
i got back;i
i came back;i
i'm bored;i
i get bored;i
i'm getting bored;i
i am getting bored;i
this is a boring thing;this
it's boring;it
it's a bit boring;it
i'm overwhelmed;i
i'm overloaded;i
i don't have time;i
i'm busy;i
i'm flooded;i
i'm so swamped;i
i'm being swamped;i
i'm swamped;i
i have things to do;i
i have something to do;i
i have to do some work;i
i have a job to do;i
i have some work to do;i
i work;i
i'm a worker;i
i'm working;i
i don't have time to do this;i
i don't have time for it;i
i don't have time for this;i
i'm an insomniac;i
i'm insomniac;i
i'm insomnious;i
i'm a sleepless mess;i
i'm sleepy;i
i'm sleepless;i
i can't sleep;i
i can't get any sleep;i
i'm not able to sleep;i
i can't fall asleep;i
i can't go to bed;i
i can't get to sleep;i
i can't have sleep;i
i am an insomniac;i
i am a insomniac;i
i don't want to talk about that;i
i don't want to talk;i
i'm not going to talk to you;i
i'm not talking to you;i
i'm not going to talk to you anymore;i
i'm not talking to you anymore;i
i don't want to talk to you;i
i'm not happy to talk;i
i'm not into chat;i
i'm not in a mood to talk;i
i'm not in the mood to talk;i
i'm not in the mood for talk;i
i'm not in the mood to chat;i
i'm not in the mood for chatting;i
i'm excited;i
i am excited;i
i'm very excited;i
i'm really excited;i
how excited i am;i
i'm very excited about this;i
i'm so excited;i
i'm delighted;i
i'm really thrilled;i
i'm thrilled;i
i'm excited to work with you;i
i'm excited about working with you;i
i'm excited about starting our friendship;i
i'm excited to start our friendship;i
i want to go to sleep;i
i want to go to bed;i
i'd like to go to sleep;i
i'd like to go to bed;i
i'm going to bed;i
i'm tired and i want to go to bed;i
i'm a little tired i want to go to bed;i
i'm a little tired and i want to go to bed;i
i'm good;i
i do great;i
i'm doing pretty good;i
i'm doing so well;i
i'm doing great;i
i'm ok;i
i'm feeling good;i
i'm doing okay;i
i'm doing well;i
i'm doing fine;i
i do it;i
i'm doing good;i
i'm great thanks;i
i'm glad;i
i'm happy;i
i am happy;i
if you are happy then so is i;i
if you are happy then i'm happy;i
if you're happy then i'm happy;i
i'm happy for you;i
i'm happy to help;i
i have a birthday today;i
i celebrate my birthday today;i
i'm celebrating my birthday today;i
today's my birthday;my
today it's my birthday;my
i'm having my birthday today;my
my birthday;my
i have a birthday;i
i'm here now;i
i'm here;i
i am here;i
here i am;i
i'm already here;i
can you tell me if i'm here?;you
can you tell if i'm here?;you
can you tell me if i'm here or not?;i
can you tell if i'm here or not?;i
i'm just kidding;i
i'm just saying;i
i'm just joking;i
i'm joking;i
i am kidding;i
i'm kidding;i
i just'm trying to be funny;i
i'm just funny;i
i'm just having fun;i
i just thought it was a joke;it
i just joked;i
i was just joking;i
i'm just making a joke;i
i'm doing it as a joke;it
i'm just playing with you;i
i like you;i
i think i like you;i
i like you too;i
but i like you;i
i like you very much;i
you're special for me;you're
you know i like you;you
you're special to me;you're
but i really like you;you
that's what i love about you;you
that's what i like about you;you
i like you as my friend;i
i like you as a friend;i
i told you i like you;i
i said i like you;i
i start liking you;i
i start to like you;i
i'm starting to like you;i
you're great and i like you;you're
but i like u;i
of course i like you;i
but i like you very much;i
but i like you so much;i
you're funny and i like you;you're
i 'd like to like you;i
i kind of like you;i
you're a special person to me;you're
you're my special guy;you're
i like you like that;i
i like it about you;you
i like that about you;you
but i like you just like you are;i
but i like you just how you are;i
but i like you just the way you are;i
you're so special for me;me
you are so special for me;me
because i like you;i
now i like you;i
i like you so much;i
i really like you;i
i'm lonely;i
i am very lonely;i
i'm very lonely;i
i'm so alone;i
i'm so lonely;i
i feel alone;i
i feel lonely;i
i'm feeling lonely;i
what do i look like?;i
how should i look?;i
how do i look?;i
do i look good?;i
you know what i look like?;i
don't you know what i look like?;i
do you know what i look like?;you
can you see how i look?;you
can you see what i'm like?;you
can you see what i look like?;yuo
what do you think i look like?;you
i love you;i
i also love you;i
i love you too;i
i think i'm in love with you;i
i think i love you;i
you know i love you;i
i miss you;i
i miss you dearly;i
i missed you;i
what should i do to deal with it?;i
what should i do?;i
if you have any suggestions;you
what are your suggestions?;your
what would you recommend?;you
what do you recommend?;you
give me advice;me
give me good advice;me
give me some advice;me
give me some wise advice;me
give me a good advice;me
i need advice on what to do;mi
i need advice on this;i
i need help;i
i need advice;i
give me some tips?;me
you have a suggestion for me?;you
what advice do you have for me?;you
you have advice for me?;you
do you have advice for me?;you
do you have any advice for me?;yuo
tell me the best way;me
please advise me;me
i'd like your advice;your
can i ask your advice?;your
can i ask for your advice?;your
can you give me a little advice?;you
can you help me out?;you
can you give me some advice?;you
could you advise me?;you
can you advise me?;you
please help me;me
can you give me a suggestion?;you
can you give me advice?;you
could you offer advice?;you
can you provide any advice;you
can you offer advice?;you
can you offer any advice?;you
give me some advice about what to do;me
give me some advice about this;me
give me some advice about it;me
give me some advice about ;me
please help me with advice;me
i can use some advice;i
i could use some advice;i
i need a piece of advice from you;you
i need advice from you;you
i need an advice from you;you
i would like to get your advice;your
i ask you for your advice;your
i'm seeking your advice;your
i am seeking your advice;your
i seek your advice;your
what can you recommend?;you
what suggestions do you have for other people?;you
what suggestions would you give?;you
what advice would you give?;you
what do you think?;you
what would you suggest?;you
what do you suggest?;you
what's your advice?;your
what is your advice?;your
i'm sad;i
i grieve;i
i'm grieving;i
i'm depressed;i
i feel sad;i
i'm feeling sad;i
i'm frustrated;i
i'm upset;i
i am upset;i
i'm just not happy;i
i am unhappy;i
i'm unhappy;i
i have a bad day;i
i'm having a bad day;i
i want to cry;i
i'm not happy about it;i
i'm not happy;i
i'm sleepy;i
i want to sleep;i
i am going to sleep;i
i'm trying to fall asleep;i
i'm falling asleep;i
i sleep;i
i'm sleeping;i
i test you;i
i'm trying to test you;i
i'm testing you;i
can i test you?;i
i want to test you;i
i just'm trying to test it on you;i
lets try it out;it
i'm exhausted;i
i'm depleted;i
i'm drained;i
i'm too busy;i
i've been so overworked;i
i'm overworked;i
i've overworked;i
i'm tired;i
i am tired;i
i get tired;i
i become weary;i
i get weary;i
i grow weary;i
i'm wiped out;i
i'm getting tired;i
i feel tired;i
i'm waiting;i
we wait;we
we're waiting;we
i'll wait;i
i can't wait;i
i can't wait anymore;i
how long do i wait?;i
how long do i have to wait?;i
i'll miss you;i
can i see you again?;i
i just want to talk;i
can i speak?;i
can i start to speak?;i
can i start speaking?;i
can we speak?;we
can we talk?;we
let's talk about it;it
i'd like to talk to you;i
i want to talk to you;i
i have to talk to you;i
i need to talk to you;i
i'd like to talk with you;i
i want to talk with you;i
i want to speak to you;i
i want to speak with you;i
can we chat?;we
i'll come back with you in a minute;i
i'll get back to you;i
i'll be back with you in a minute;i
i'll come back to you in a minute;i
i promise i'll come back;i
i promise to come back;i
i'll be back in a couple of minutes;i
i'll be back in a few minutes;i
