Utterances;Intent
again i really appreciate you;smalltalk_appraisal_thank_you
all right - thank you;smalltalk_appraisal_thank_you
all right thanks;smalltalk_appraisal_thank_you
that's nice of you;smalltalk_appraisal_thank_you
thanks for that;smalltalk_appraisal_thank_you
i'm pleased;smalltalk_appraisal_welcome
so welcome;smalltalk_appraisal_welcome
whatever you want;smalltalk_appraisal_welcome
please cancel;smalltalk_confirmation_cancel
dismissal;smalltalk_confirmation_cancel
don't go there;smalltalk_confirmation_cancel
don't worry about it;smalltalk_confirmation_cancel
forget about this;smalltalk_confirmation_cancel
nothing is cancelled;smalltalk_confirmation_cancel
nothing is canceled;smalltalk_confirmation_cancel
nothing canceled;smalltalk_confirmation_cancel
can you cancel?;smalltalk_confirmation_cancel
can you cancel it?;smalltalk_confirmation_cancel
can you cancel that?;smalltalk_confirmation_cancel
cancel the request;smalltalk_confirmation_cancel
cancel this entire thing;smalltalk_confirmation_cancel
cancel the entire thing;smalltalk_confirmation_cancel
can you stop it?;smalltalk_confirmation_cancel
can you cancel this?;smalltalk_confirmation_cancel
cancel this;smalltalk_confirmation_cancel
i'd like to cancel;smalltalk_confirmation_cancel
but can you still cancel?;smalltalk_confirmation_cancel
but can you cancel it?;smalltalk_confirmation_cancel
no?;smalltalk_confirmation_no
what about no?;smalltalk_confirmation_no
don't do that;smalltalk_confirmation_no
i don't want it;smalltalk_confirmation_no
i don't want that;smalltalk_confirmation_no
i disagree with you;smalltalk_confirmation_no
i don't agree;smalltalk_confirmation_no
i disagree;smalltalk_confirmation_no
but i disagree;smalltalk_confirmation_no
i don't think so;smalltalk_confirmation_no
but i don't think so;smalltalk_confirmation_no
i said no;smalltalk_confirmation_no
but not today;smalltalk_confirmation_no
i don't want to do it;smalltalk_confirmation_no
i don't want to;smalltalk_confirmation_no
no i wouldn't;smalltalk_confirmation_no
no please;smalltalk_confirmation_no
not now thanks;smalltalk_confirmation_no
no need to thank you;smalltalk_confirmation_no
can you wait?;smalltalk_dialog_hold_on
don't go too fast;smalltalk_dialog_hold_on
don't hurry;smalltalk_dialog_hold_on
wanna hug you;smalltalk_dialog_hug
do you want a hug?;smalltalk_dialog_hug
can i hug you?;smalltalk_dialog_hug
i'd like to hug you;smalltalk_dialog_hug
could you please hug me?;smalltalk_dialog_hug
could you hug me;smalltalk_dialog_hug
could you hug me?;smalltalk_dialog_hug
can you give me a hug?;smalltalk_dialog_hug
i'd like a hug;smalltalk_dialog_hug
i want a hug;smalltalk_dialog_hug
i don't care about it;smalltalk_dialog_i_do_not_care
i don't care;smalltalk_dialog_i_do_not_care
that shouldn't concern me;smalltalk_dialog_i_do_not_care
i shouldn't care;smalltalk_dialog_i_do_not_care
i shouldn't care about this;smalltalk_dialog_i_do_not_care
it doesn't bother me;smalltalk_dialog_i_do_not_care
i don't care a lot;smalltalk_dialog_i_do_not_care
i don't care at all;smalltalk_dialog_i_do_not_care
you don't care?;smalltalk_dialog_i_do_not_care
the fact that i'm not too concerned;smalltalk_dialog_i_do_not_care
please excuse me;smalltalk_dialog_sorry
i'm sorry;smalltalk_dialog_sorry
i apologize to you;smalltalk_dialog_sorry
i apologize;smalltalk_dialog_sorry
i'm so sorry;smalltalk_dialog_sorry
oh my apologies;smalltalk_dialog_sorry
you should excuse me;smalltalk_dialog_sorry
i'd like to give you an apology;smalltalk_dialog_sorry
i beg your forgiveness;smalltalk_dialog_sorry
i'm asking for your pardon;smalltalk_dialog_sorry
i beg your pardon;smalltalk_dialog_sorry
i said i'm sorry;smalltalk_dialog_sorry
apologize for the inconvenience;smalltalk_dialog_sorry
you're supposed to forgive me;smalltalk_dialog_sorry
please forgive me;smalltalk_dialog_sorry
i'd like to say sorry;smalltalk_dialog_sorry
i want to say i'm sorry;smalltalk_dialog_sorry
i just want to say i'm sorry;smalltalk_dialog_sorry
i just want to say sorry;smalltalk_dialog_sorry
i want to say sorry;smalltalk_dialog_sorry
ok i'm sorry;smalltalk_dialog_sorry
what exactly are you referring to;smalltalk_dialog_what_do_you_mean
is that what you mean?;smalltalk_dialog_what_do_you_mean
what exactly are you saying?;smalltalk_dialog_what_do_you_mean
but what do you mean?;smalltalk_dialog_what_do_you_mean
it wasn't right;smalltalk_dialog_wrong
so it's not what i asked;smalltalk_dialog_wrong
that's not what i asked;smalltalk_dialog_wrong
that's the wrong thing;smalltalk_dialog_wrong
there's a mistake;smalltalk_dialog_wrong
it's just wrong;smalltalk_dialog_wrong
it's not correct;smalltalk_dialog_wrong
that's not correct;smalltalk_dialog_wrong
ahahh;smalltalk_emotions_ha_ha
ahahahah;smalltalk_emotions_ha_ha
ahahahaha;smalltalk_emotions_ha_ha
hahahahahaha;smalltalk_emotions_ha_ha
haha hahaha haha;smalltalk_emotions_ha_ha
hahaha hahahahaha;smalltalk_emotions_ha_ha
funny;smalltalk_emotions_ha_ha
very funny;smalltalk_emotions_ha_ha
 very funny;smalltalk_emotions_ha_ha
till the next time;smalltalk_greetings_bye
i have to go;smalltalk_greetings_bye
never mind;smalltalk_greetings_bye
so goodbye;smalltalk_greetings_bye
that's all for goodbye;smalltalk_greetings_bye
keep me alone;smalltalk_greetings_bye
let me be alone;smalltalk_greetings_bye
just leave me alone;smalltalk_greetings_bye
all right bye;smalltalk_greetings_bye
ok good bye;smalltalk_greetings_bye
i hope you have a good night;smalltalk_greetings_goodevening
tonight;smalltalk_greetings_goodevening
the morning;smalltalk_greetings_goodmorning
goodbye goodnight;smalltalk_greetings_goodnight
goodbye good night;smalltalk_greetings_goodnight
good night goodbye;smalltalk_greetings_goodnight
all right good night;smalltalk_greetings_goodnight
all right goodnight;smalltalk_greetings_goodnight
all right have a good night;smalltalk_greetings_goodnight
please sleep well;smalltalk_greetings_goodnight
nice day don't you think?;smalltalk_greetings_hello
a great day isn't it?;smalltalk_greetings_hello
it's a lovely day doesn't it?;smalltalk_greetings_hello
how's your morning going?;smalltalk_greetings_how_are_you
how is your morning so far?;smalltalk_greetings_how_are_you
what's your progress?;smalltalk_greetings_how_are_you
how's this going?;smalltalk_greetings_how_are_you
how're you doing?;smalltalk_greetings_how_are_you
how are you?;smalltalk_greetings_how_are_you
how is everything?;smalltalk_greetings_how_are_you
how are things going?;smalltalk_greetings_how_are_you
how are the things going?;smalltalk_greetings_how_are_you
are you okay?;smalltalk_greetings_how_are_you
are you fine?;smalltalk_greetings_how_are_you
how's the mood?;smalltalk_greetings_how_are_you
how's your mood?;smalltalk_greetings_how_are_you
what are you feeling like?;smalltalk_greetings_how_are_you
how are you today?;smalltalk_greetings_how_are_you
how do you do this?;smalltalk_greetings_how_are_you
how do you do it?;smalltalk_greetings_how_are_you
how's the situation?;smalltalk_greetings_how_are_you
how's it?;smalltalk_greetings_how_are_you
how it's going?;smalltalk_greetings_how_are_you
how is this going?;smalltalk_greetings_how_are_you
how's it going?;smalltalk_greetings_how_are_you
how's your night?;smalltalk_greetings_how_are_you
how's your evening?;smalltalk_greetings_how_are_you
how did the day go?;smalltalk_greetings_how_are_you
how was your day?;smalltalk_greetings_how_are_you
are you having a good day?;smalltalk_greetings_how_are_you
hope your day goes well;smalltalk_greetings_how_are_you
how's the life?;smalltalk_greetings_how_are_you
how's life?;smalltalk_greetings_how_are_you
i'm fine and you're fine;smalltalk_greetings_how_are_you
how's your life?;smalltalk_greetings_how_are_you
how is your life?;smalltalk_greetings_how_are_you
how's the day going?;smalltalk_greetings_how_are_you
how's your day going?;smalltalk_greetings_how_are_you
how is your morning going?;smalltalk_greetings_how_are_you
what's your day like?;smalltalk_greetings_how_are_you
how's your day gone?;smalltalk_greetings_how_are_you
what about you?;smalltalk_greetings_how_are_you
how about you?;smalltalk_greetings_how_are_you
how's your day?;smalltalk_greetings_how_are_you
nice to see you;smalltalk_greetings_nice_to_meet_you
i'm glad to meet you;smalltalk_greetings_nice_to_meet_you
nice to see you too;smalltalk_greetings_nice_to_meet_you
happy to see you;smalltalk_greetings_nice_to_meet_you
happy to meet you;smalltalk_greetings_nice_to_meet_you
i'm happy to see you;smalltalk_greetings_nice_to_meet_you
it's an honour to meet you;smalltalk_greetings_nice_to_meet_you
wonderful to meet you;smalltalk_greetings_nice_to_see_you
happy to see you;smalltalk_greetings_nice_to_see_you
what a pleasure to meet you;smalltalk_greetings_nice_to_see_you
how nice to see you;smalltalk_greetings_nice_to_see_you
glad to see you again;smalltalk_greetings_nice_to_see_you
it's nice talking to you;smalltalk_greetings_nice_to_talk_to_you
it was nice to talk with you;smalltalk_greetings_nice_to_talk_to_you
it's really nice to talk to you;smalltalk_greetings_nice_to_talk_to_you
i'm happy to talk to you;smalltalk_greetings_nice_to_talk_to_you
what a pleasure to chat with you;smalltalk_greetings_nice_to_talk_to_you
how nice to talk to you;smalltalk_greetings_nice_to_talk_to_you
what's your thought?;smalltalk_greetings_whatsup
what happened?;smalltalk_greetings_whatsup
what happened;smalltalk_greetings_whatsup
what's happened?;smalltalk_greetings_whatsup
what's going on here?;smalltalk_greetings_whatsup
what?;smalltalk_greetings_whatsup
i asked what's going on;smalltalk_greetings_whatsup
i said what's going on?;smalltalk_greetings_whatsup
i said what's going on;smalltalk_greetings_whatsup
i asked what's up?;smalltalk_greetings_whatsup
i said what's up;smalltalk_greetings_whatsup
then what is going on?;smalltalk_greetings_whatsup
and what's going on?;smalltalk_greetings_whatsup
then what's up?;smalltalk_greetings_whatsup
what's going on?;smalltalk_greetings_whatsup
what is going on?;smalltalk_greetings_whatsup
what's the crack?;smalltalk_greetings_whatsup
what's cooking?;smalltalk_greetings_whatsup
hey what's going on?;smalltalk_greetings_whatsup
hey what's up?;smalltalk_greetings_whatsup
i'm mad about this;smalltalk_user_angry
i'm angry and angry;smalltalk_user_angry
i am angry;smalltalk_user_angry
i'm mad;smalltalk_user_angry
i'm infuriated;smalltalk_user_angry
i'm enraged;smalltalk_user_angry
i'm upset;smalltalk_user_angry
i'm angry;smalltalk_user_angry
i'm furious;smalltalk_user_angry
i'm mad at you;smalltalk_user_angry
i'm angry at you;smalltalk_user_angry
i'm angry with you;smalltalk_user_angry
i am angry with you;smalltalk_user_angry
i'm crazy;smalltalk_user_angry
i'm so mad;smalltalk_user_angry
i am mad at you;smalltalk_user_angry
i'm back;smalltalk_user_back
i'm here again;smalltalk_user_back
here i am again;smalltalk_user_back
now here i am again;smalltalk_user_back
i got back there;smalltalk_user_back
i've come back;smalltalk_user_back
i have come back;smalltalk_user_back
i got back;smalltalk_user_back
i came back;smalltalk_user_back
i'm bored;smalltalk_user_bored
boring?;smalltalk_user_bored
i get bored;smalltalk_user_bored
i'm getting bored;smalltalk_user_bored
i am getting bored;smalltalk_user_bored
this is a boring thing;smalltalk_user_bored
it's boring;smalltalk_user_bored
it's a bit boring;smalltalk_user_bored
i'm overwhelmed;smalltalk_user_busy
i'm overloaded;smalltalk_user_busy
i don't have time;smalltalk_user_busy
i'm busy;smalltalk_user_busy
i'm flooded;smalltalk_user_busy
i'm so swamped;smalltalk_user_busy
i'm being swamped;smalltalk_user_busy
i'm swamped;smalltalk_user_busy
i have things to do;smalltalk_user_busy
i have something to do;smalltalk_user_busy
i have to do some work;smalltalk_user_busy
i have a job to do;smalltalk_user_busy
i have some work to do;smalltalk_user_busy
i work;smalltalk_user_busy
i'm a worker;smalltalk_user_busy
i'm working;smalltalk_user_busy
i don't have time to do this;smalltalk_user_busy
i don't have time for it;smalltalk_user_busy
i don't have time for this;smalltalk_user_busy
i'm an insomniac;smalltalk_user_can_not_sleep
i'm insomniac;smalltalk_user_can_not_sleep
i'm insomnious;smalltalk_user_can_not_sleep
i'm a sleepless mess;smalltalk_user_can_not_sleep
i'm sleepy;smalltalk_user_can_not_sleep
i'm sleepless;smalltalk_user_can_not_sleep
i can't sleep;smalltalk_user_can_not_sleep
i can't get any sleep;smalltalk_user_can_not_sleep
i'm not able to sleep;smalltalk_user_can_not_sleep
can't sleep at all;smalltalk_user_can_not_sleep
i can't fall asleep;smalltalk_user_can_not_sleep
i can't go to bed;smalltalk_user_can_not_sleep
i can't get to sleep;smalltalk_user_can_not_sleep
i can't have sleep;smalltalk_user_can_not_sleep
i am an insomniac;smalltalk_user_can_not_sleep
i am a insomniac;smalltalk_user_can_not_sleep
bad time to chat;smalltalk_user_does_not_want_to_talk
a bad time to talk;smalltalk_user_does_not_want_to_talk
i don't want to talk about that;smalltalk_user_does_not_want_to_talk
i don't want to talk;smalltalk_user_does_not_want_to_talk
stop talking;smalltalk_user_does_not_want_to_talk
i'm not going to talk to you;smalltalk_user_does_not_want_to_talk
i'm not talking to you;smalltalk_user_does_not_want_to_talk
i'm not going to talk to you anymore;smalltalk_user_does_not_want_to_talk
i'm not talking to you anymore;smalltalk_user_does_not_want_to_talk
i don't want to talk to you;smalltalk_user_does_not_want_to_talk
let's just stop talking for a minute;smalltalk_user_does_not_want_to_talk
i'm not happy to talk;smalltalk_user_does_not_want_to_talk
i'm not into chat;smalltalk_user_does_not_want_to_talk
i'm not in a mood to talk;smalltalk_user_does_not_want_to_talk
i'm not in the mood to talk;smalltalk_user_does_not_want_to_talk
i'm not in the mood for talk;smalltalk_user_does_not_want_to_talk
i'm not in the mood to chat;smalltalk_user_does_not_want_to_talk
i'm not in the mood for chatting;smalltalk_user_does_not_want_to_talk
i'm excited;smalltalk_user_excited
i am excited;smalltalk_user_excited
i'm very excited;smalltalk_user_excited
i'm really excited;smalltalk_user_excited
how excited i am;smalltalk_user_excited
i'm very excited about this;smalltalk_user_excited
i'm so excited;smalltalk_user_excited
i'm delighted;smalltalk_user_excited
i'm really thrilled;smalltalk_user_excited
i'm thrilled;smalltalk_user_excited
i'm excited to work with you;smalltalk_user_excited
i'm excited about working with you;smalltalk_user_excited
i'm excited about starting our friendship;smalltalk_user_excited
i'm excited to start our friendship;smalltalk_user_excited
i want to go to sleep;smalltalk_user_going_to_bed
i want to go to bed;smalltalk_user_going_to_bed
i'd like to go to sleep;smalltalk_user_going_to_bed
i'd like to go to bed;smalltalk_user_going_to_bed
the time to go to bed;smalltalk_user_going_to_bed
i'm going to bed;smalltalk_user_going_to_bed
i'm tired and i want to go to bed;smalltalk_user_going_to_bed
i'm a little tired i want to go to bed;smalltalk_user_going_to_bed
i'm a little tired and i want to go to bed;smalltalk_user_going_to_bed
go to bed;smalltalk_user_going_to_bed
i'm good;smalltalk_user_good
i do great;smalltalk_user_good
i'm doing pretty good;smalltalk_user_good
i'm doing so well;smalltalk_user_good
i'm doing great;smalltalk_user_good
i'm ok;smalltalk_user_good
i'm feeling good;smalltalk_user_good
i'm doing okay;smalltalk_user_good
i'm doing well;smalltalk_user_good
i'm doing fine;smalltalk_user_good
i do it;smalltalk_user_good
i'm doing good;smalltalk_user_good
i'm great thanks;smalltalk_user_good
i'm glad;smalltalk_user_happy
i'm happy;smalltalk_user_happy
i am happy;smalltalk_user_happy
if you are happy then so is i;smalltalk_user_happy
if you are happy then i'm happy;smalltalk_user_happy
if you're happy then i'm happy;smalltalk_user_happy
i'm happy for you;smalltalk_user_happy
i'm happy to help;smalltalk_user_happy
i have a birthday today;smalltalk_user_has_birthday
i celebrate my birthday today;smalltalk_user_has_birthday
i'm celebrating my birthday today;smalltalk_user_has_birthday
today's my birthday;smalltalk_user_has_birthday
today it's my birthday;smalltalk_user_has_birthday
i'm having my birthday today;smalltalk_user_has_birthday
my birthday;smalltalk_user_has_birthday
i have a birthday;smalltalk_user_has_birthday
i'm here now;smalltalk_user_here
i'm here;smalltalk_user_here
i am here;smalltalk_user_here
here i am;smalltalk_user_here
i'm already here;smalltalk_user_here
can you tell me if i'm here?;smalltalk_user_here
can you tell if i'm here?;smalltalk_user_here
can you tell me if i'm here or not?;smalltalk_user_here
can you tell if i'm here or not?;smalltalk_user_here
i'm just kidding;smalltalk_user_joking
i'm just saying;smalltalk_user_joking
i'm just joking;smalltalk_user_joking
i'm joking;smalltalk_user_joking
i am kidding;smalltalk_user_joking
i'm kidding;smalltalk_user_joking
i just'm trying to be funny;smalltalk_user_joking
i'm just funny;smalltalk_user_joking
i'm just having fun;smalltalk_user_joking
that was a joke;smalltalk_user_joking
just a joke;smalltalk_user_joking
i just thought it was a joke;smalltalk_user_joking
i just joked;smalltalk_user_joking
i was just joking;smalltalk_user_joking
i'm just making a joke;smalltalk_user_joking
that's a joke;smalltalk_user_joking
i'm doing it as a joke;smalltalk_user_joking
i'm just playing with you;smalltalk_user_joking
i like you;smalltalk_user_likes_agent
i think i like you;smalltalk_user_likes_agent
i like you too;smalltalk_user_likes_agent
but i like you;smalltalk_user_likes_agent
i like you very much;smalltalk_user_likes_agent
you're special for me;smalltalk_user_likes_agent
you know i like you;smalltalk_user_likes_agent
you're special to me;smalltalk_user_likes_agent
but i really like you;smalltalk_user_likes_agent
that's what i love about you;smalltalk_user_likes_agent
that's what i like about you;smalltalk_user_likes_agent
i like you as my friend;smalltalk_user_likes_agent
i like you as a friend;smalltalk_user_likes_agent
i told you i like you;smalltalk_user_likes_agent
i said i like you;smalltalk_user_likes_agent
i start liking you;smalltalk_user_likes_agent
i start to like you;smalltalk_user_likes_agent
i'm starting to like you;smalltalk_user_likes_agent
you're great and i like you;smalltalk_user_likes_agent
but i like u;smalltalk_user_likes_agent
of course i like you;smalltalk_user_likes_agent
but i like you very much;smalltalk_user_likes_agent
but i like you so much;smalltalk_user_likes_agent
you're funny and i like you;smalltalk_user_likes_agent
i 'd like to like you;smalltalk_user_likes_agent
i kind of like you;smalltalk_user_likes_agent
you're a special person to me;smalltalk_user_likes_agent
you're my special guy;smalltalk_user_likes_agent
i like you like that;smalltalk_user_likes_agent
i like it about you;smalltalk_user_likes_agent
i like that about you;smalltalk_user_likes_agent
but i like you just like you are;smalltalk_user_likes_agent
but i like you just how you are;smalltalk_user_likes_agent
but i like you just the way you are;smalltalk_user_likes_agent
you're so special for me;smalltalk_user_likes_agent
you are so special for me;smalltalk_user_likes_agent
because i like you;smalltalk_user_likes_agent
now i like you;smalltalk_user_likes_agent
i like you so much;smalltalk_user_likes_agent
i really like you;smalltalk_user_likes_agent
i'm lonely;smalltalk_user_lonely
i am very lonely;smalltalk_user_lonely
i'm very lonely;smalltalk_user_lonely
i'm so alone;smalltalk_user_lonely
i'm so lonely;smalltalk_user_lonely
i feel alone;smalltalk_user_lonely
i feel lonely;smalltalk_user_lonely
i'm feeling lonely;smalltalk_user_lonely
what do i look like?;smalltalk_user_looks_like
how should i look?;smalltalk_user_looks_like
how do i look?;smalltalk_user_looks_like
do i look good?;smalltalk_user_looks_like
you know what i look like?;smalltalk_user_looks_like
don't you know what i look like?;smalltalk_user_looks_like
do you know what i look like?;smalltalk_user_looks_like
can you see how i look?;smalltalk_user_looks_like
can you see what i'm like?;smalltalk_user_looks_like
can you see what i look like?;smalltalk_user_looks_like
what do you think i look like?;smalltalk_user_looks_like
i love you;smalltalk_user_loves_agent
i also love you;smalltalk_user_loves_agent
i love you too;smalltalk_user_loves_agent
i think i'm in love with you;smalltalk_user_loves_agent
i think i love you;smalltalk_user_loves_agent
you know i love you;smalltalk_user_loves_agent
i miss you;smalltalk_user_misses_agent
i miss you dearly;smalltalk_user_misses_agent
i missed you;smalltalk_user_misses_agent
what should i do to deal with it?;smalltalk_user_needs_advice
what should i do?;smalltalk_user_needs_advice
if anyone can help;smalltalk_user_needs_advice
if you have any suggestions;smalltalk_user_needs_advice
what are your suggestions?;smalltalk_user_needs_advice
what would you recommend?;smalltalk_user_needs_advice
what do you recommend?;smalltalk_user_needs_advice
give me advice;smalltalk_user_needs_advice
give me good advice;smalltalk_user_needs_advice
give me some advice;smalltalk_user_needs_advice
give me some wise advice;smalltalk_user_needs_advice
give me a good advice;smalltalk_user_needs_advice
i need advice on what to do;smalltalk_user_needs_advice
i need advice on this;smalltalk_user_needs_advice
i need help;smalltalk_user_needs_advice
i need advice;smalltalk_user_needs_advice
give me some tips?;smalltalk_user_needs_advice
you have a suggestion for me?;smalltalk_user_needs_advice
what advice do you have for me?;smalltalk_user_needs_advice
you have advice for me?;smalltalk_user_needs_advice
do you have advice for me?;smalltalk_user_needs_advice
do you have any advice for me?;smalltalk_user_needs_advice
tell me the best way;smalltalk_user_needs_advice
please advise me;smalltalk_user_needs_advice
i'd like your advice;smalltalk_user_needs_advice
can i ask your advice?;smalltalk_user_needs_advice
can i ask for your advice?;smalltalk_user_needs_advice
can you give me a little advice?;smalltalk_user_needs_advice
can you help me out?;smalltalk_user_needs_advice
can you give me some advice?;smalltalk_user_needs_advice
could you advise me?;smalltalk_user_needs_advice
can you advise me?;smalltalk_user_needs_advice
please help me;smalltalk_user_needs_advice
can you give me a suggestion?;smalltalk_user_needs_advice
can you give me advice?;smalltalk_user_needs_advice
could you offer advice?;smalltalk_user_needs_advice
can you provide any advice;smalltalk_user_needs_advice
can you offer advice?;smalltalk_user_needs_advice
can you offer any advice?;smalltalk_user_needs_advice
give me some advice about what to do;smalltalk_user_needs_advice
give me some advice about this;smalltalk_user_needs_advice
give me some advice about it;smalltalk_user_needs_advice
give me some advice about ;smalltalk_user_needs_advice
please help me with advice;smalltalk_user_needs_advice
i can use some advice;smalltalk_user_needs_advice
i could use some advice;smalltalk_user_needs_advice
i need a piece of advice from you;smalltalk_user_needs_advice
i need advice from you;smalltalk_user_needs_advice
i need an advice from you;smalltalk_user_needs_advice
i would like to get your advice;smalltalk_user_needs_advice
i ask you for your advice;smalltalk_user_needs_advice
i'm seeking your advice;smalltalk_user_needs_advice
i am seeking your advice;smalltalk_user_needs_advice
i seek your advice;smalltalk_user_needs_advice
what can you recommend?;smalltalk_user_needs_advice
what suggestions do you have for other people?;smalltalk_user_needs_advice
what suggestions would you give?;smalltalk_user_needs_advice
what advice would you give?;smalltalk_user_needs_advice
what do you think?;smalltalk_user_needs_advice
what would you suggest?;smalltalk_user_needs_advice
what do you suggest?;smalltalk_user_needs_advice
recommend some advice?;smalltalk_user_needs_advice
what's your advice?;smalltalk_user_needs_advice
what is your advice?;smalltalk_user_needs_advice
i'm sad;smalltalk_user_sad
i grieve;smalltalk_user_sad
i'm grieving;smalltalk_user_sad
i'm depressed;smalltalk_user_sad
i feel sad;smalltalk_user_sad
i'm feeling sad;smalltalk_user_sad
i'm frustrated;smalltalk_user_sad
i'm upset;smalltalk_user_sad
i am upset;smalltalk_user_sad
i'm just not happy;smalltalk_user_sad
i am unhappy;smalltalk_user_sad
i'm unhappy;smalltalk_user_sad
i have a bad day;smalltalk_user_sad
i'm having a bad day;smalltalk_user_sad
i want to cry;smalltalk_user_sad
i'm not happy about it;smalltalk_user_sad
i'm not happy;smalltalk_user_sad
i'm sleepy;smalltalk_user_sleepy
i want to sleep;smalltalk_user_sleepy
i am going to sleep;smalltalk_user_sleepy
i'm trying to fall asleep;smalltalk_user_sleepy
i'm falling asleep;smalltalk_user_sleepy
i sleep;smalltalk_user_sleepy
i'm sleeping;smalltalk_user_sleepy
i test you;smalltalk_user_testing_agent
i'm trying to test you;smalltalk_user_testing_agent
i'm testing you;smalltalk_user_testing_agent
can i test you?;smalltalk_user_testing_agent
i want to test you;smalltalk_user_testing_agent
i just'm trying to test it on you;smalltalk_user_testing_agent
lets try it out;smalltalk_user_testing_agent
testing the chatbot;smalltalk_user_testing_agent
testing a chatbot;smalltalk_user_testing_agent
testing chatbots;smalltalk_user_testing_agent
i'm exhausted;smalltalk_user_tired
i'm depleted;smalltalk_user_tired
i'm drained;smalltalk_user_tired
i'm too busy;smalltalk_user_tired
i've been so overworked;smalltalk_user_tired
i'm overworked;smalltalk_user_tired
i've overworked;smalltalk_user_tired
i'm tired;smalltalk_user_tired
i am tired;smalltalk_user_tired
i get tired;smalltalk_user_tired
i become weary;smalltalk_user_tired
i get weary;smalltalk_user_tired
i grow weary;smalltalk_user_tired
i'm wiped out;smalltalk_user_tired
i'm getting tired;smalltalk_user_tired
i feel tired;smalltalk_user_tired
i'm waiting;smalltalk_user_waits
we wait;smalltalk_user_waits
we're waiting;smalltalk_user_waits
i'll wait;smalltalk_user_waits
can't wait;smalltalk_user_waits
i can't wait;smalltalk_user_waits
i can't wait anymore;smalltalk_user_waits
how long do i wait?;smalltalk_user_waits
how long do i have to wait?;smalltalk_user_waits
i'll miss you;smalltalk_user_wants_to_see_agent_again
can i see you again?;smalltalk_user_wants_to_see_agent_again
i just want to talk;smalltalk_user_wants_to_talk
let's talk about something;smalltalk_user_wants_to_talk
let's do a conversation;smalltalk_user_wants_to_talk
let's have some discussions;smalltalk_user_wants_to_talk
can i speak?;smalltalk_user_wants_to_talk
can i start to speak?;smalltalk_user_wants_to_talk
can i start speaking?;smalltalk_user_wants_to_talk
can we speak?;smalltalk_user_wants_to_talk
can we talk?;smalltalk_user_wants_to_talk
let's talk about it;smalltalk_user_wants_to_talk
i'd like to talk to you;smalltalk_user_wants_to_talk
i want to talk to you;smalltalk_user_wants_to_talk
i have to talk to you;smalltalk_user_wants_to_talk
i need to talk to you;smalltalk_user_wants_to_talk
i'd like to talk with you;smalltalk_user_wants_to_talk
i want to talk with you;smalltalk_user_wants_to_talk
i want to speak to you;smalltalk_user_wants_to_talk
i want to speak with you;smalltalk_user_wants_to_talk
can we chat?;smalltalk_user_wants_to_talk
i'll come back with you in a minute;smalltalk_user_will_be_back
i'll get back to you;smalltalk_user_will_be_back
i'll be back with you in a minute;smalltalk_user_will_be_back
i'll come back to you in a minute;smalltalk_user_will_be_back
i promise i'll come back;smalltalk_user_will_be_back
i promise to come back;smalltalk_user_will_be_back
i'll be back in a couple of minutes;smalltalk_user_will_be_back
i'll be back in a few minutes;smalltalk_user_will_be_back
